직무명,회사명,채용공고명,근무지역,고용형태,경력조건,교육,마감일,출처,채용공고상세
게임개발,한길씨앤씨(주),XR기반 3D 모델링 및 애니메이션 모집,서울 금천구,정규직,신입 · 경력,학력무관,~ 07/20(목)(5일 전 등록),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=45972649,"AI 응용 게임 '프로젝트 NAI(가칭)'의 개발자를 모집합니다.
- 모바일 플랫폼의 게임으로서 디펜스와 액션이 섞여 있는 게임입니다.
- 2023년 11월 출시를 목표로 개발 중이며, 현재 백엔드/서버 개발자를 찾고 있습니다.
- 신입 가능합니다. 10년 이상의 경력자가 지도합니다.
- 머신러닝, 이미지 생성, 대화형 AI등 각종 AI 기술을 포함하고 있습니다.

자격 요건
- 2건 이상의 게임 프로젝트(학교/게임아카데미 과제, 개인 작품등 포함) 참여 및 수행 이력
- 대구에서 근무가 가능한 사람
- AI 관련 기술에 관심이 많으신 분

주요 특징적인 복지 내용
- 연차와 별개의 여름 휴가 제공(3일)
- 휴가비, 명절비 지급

근무지 특징
- 엔젤게임즈 신사옥 7층에 거주
- 깨끗한 사무실과 화장실, 식당, 카페테리어 이용 가능

기타
- 저희 엔피니티7은 엔젤게임즈의 파트너사입니다.
- 엔젤게임즈가 주요 투자자이며 기술 제휴를 맺고 있습니다.
- 엔피니티7은 AI, 블록체인, 메타버스등 신기술 기반의 콘텐츠를 개발하고 있습니다.
- 때문에 저희 엔피니티7과 함께 하신다면 최신 기술 관련 커리어를 쌓는데 많은 도움이 되실겁니다."
게임개발,(주)카카오게임즈,[카카오게임즈 자회사] 메타보라 - 서브컬쳐 이펙터 영입 (경력),경기 성남시 분당구,정규직,경력 5년↑,학력무관,채용시(17일 전 등록),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=45884792,"엔피니티7에서 실력있는 게임 기획자를 모집합니다.
- 게임 시나리오와 콘텐츠 기획에 특화되신 분
- 특히 스토리텔링에 자신있는 분!!!!!
- 특정 장르에 치우치지 않으신분
-> 현재 수집형 액션 RPG, 러닝 게임, 로봇 액션 게임등 다양한 프로젝트를 진행하고 있습니다.
- 게임 만드는 것을 좋아하시는 분
- 새로운 기술(AI, 블록체인등)에 관심이 많으신 분

자격 요건
- 대구에서 근무가 가능한 사람
- 게임/캐릭터 관련 시나리오 포트폴리오
- AI 관련 기술에 관심이 많으신 분

주요 특징적인 복지 내용
- 연차와 별개의 여름 휴가 제공(3일)
- 휴가비, 명절비 지급

근무지 특징
- 엔젤게임즈 신사옥 7층에 거주
- 깨끗한 사무실과 화장실, 식당, 카페테리어 이용 가능

기타
- 저희 엔피니티7은 엔젤게임즈의 파트너사입니다.
- 엔젤게임즈가 주요 투자자이며 기술 제휴를 맺고 있습니다.
- 엔피니티7은 AI, 블록체인, 메타버스등 신기술 기반의 콘텐츠를 개발하고 있습니다.
- 때문에 저희 엔피니티7과 함께 하신다면 최신 기술 관련 커리어를 쌓는데 많은 도움이 되실겁니다."
게임개발,(주)경일게임아카데미,"웹프로그래밍+블록체인 교강사 채용(정규직, 중식제공, 워라밸)",서울 강동구,정규직,경력무관,학력무관,~ 08/15(화)(9일 전 등록),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=45945039,
게임개발,슈퍼센트 주식회사,[슈퍼센트] 모바일 게임 사업 PM (인턴) 모집,서울 송파구,인턴직,경력무관,학력무관,~ 08/08(화)(16일 전 등록),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=45894829,"[TIA] 게임 클라이언트 정규직 채용
모집부문 및 상세내용
공통 자격요건
ㆍ학력 : 무관
[TIA] 게임 클라이언트 정규직 채용 00명
담당업무
ㆍ신규 게임 개발 및 기존 게임 유지보수

자격요건
ㆍ학력 : 학력 무관
ㆍ경력 : 경력 3년↑
ㆍUnity 중급 이상 실력 보유자
ㆍAndroid, IOS 모바일 게임 개발 경험
ㆍNGUI, UGUI 사용 능숙자

우대사항
ㆍc# 중급 이상 실력 보유자
ㆍ즉시 투입 가능한 소스 코드 다량 보유자
ㆍAndroid, ios 네이티브 플러그인 연동 경험자
ㆍ레이싱 게임 또는 카지노 게임 개발 경력

복리후생
ㆍ빠른 연봉 인상 (평가에 따라 6개월마다 연봉 인상)
ㆍ선택 출근제 (9:30 or 10:00)
ㆍ육아 수당 지원
ㆍ최신 장비 및 소프트웨어 지원
ㆍ연월차 자유 사용
ㆍ경조 휴가, 비용 지원
ㆍ자유 복장

근무조건
ㆍ 근무형태 : 정규직(수습기간)-3개월
ㆍ 근무일시 : 주 5일(월~금)
ㆍ 근무지역 : (06226) 서울 강남구 언주로71길 17(역삼동) - 서울 2호선 역삼 에서 800m 이내
전형절차
서류전형
1차면접
최종합격
접수기간 및 방법
ㆍ 접수기간 : 2023년 6월 19일 (월) 10시 ~ 채용시
ㆍ 접수방법 : 사람인 입사지원
ㆍ 이력서양식 : 사람인 온라인 이력서
ㆍ 제출서류 : 포트폴리오
유의사항
ㆍ입사지원 서류에 허위사실이 발견될 경우, 채용확정 이후라도 채용이 취소될 수 있습니다."
게임개발,(주)퍼즐원스튜디오,모바일 퍼즐게임 채용연계형 인턴 (전 직군) 채용,경기 성남시 분당구,인턴직,신입,대학교(4년)↑,내일마감(5일 전 등록),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=45968811,
게임개발,(주)달콤소프트,[달콤소프트]SuperStarX (글로벌 팬덤 참여형플랫폼) 담당자모집,서울 강남구,정규직,경력 1년↑,"대학(2,3년)↑",~ 07/06(목)(142일 전 등록),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=44982006,
게임개발,(주)넥슨,[마비노기] 클라이언트 프로그래머,경기 성남시 분당구,정규직,경력 2년↑,학력무관,채용시(6일 전 등록),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=45962753,"모집부문 및 상세내용


☆ Flutter 개발  
담당업무
ㆍFlutter를 사용하여 iOS, Android 환경에서 작동하는 제품 기능 개발

자격요건
ㆍ관련 경력 1년 이상이신 분
ㆍREST API 연동 경험 있으신 분
ㆍiOS 또는 AOS 로 개발된 앱을 스토어에 배포 한 경험이 있으신 분  

우대사항
ㆍGithub을 이용한 협업 경험이 있거나 Github 프로젝트 운영 경험이 있으신 분
ㆍFirebase 연동 경험이 있으신 분
ㆍ에러 리포팅 툴 사용 경험이 있으신 분
ㆍflutter 플랫폼 별 코드 작성 경험이 있으신 분
ㆍ이공계열 학위가 있으신 분

* 입사지원서 상에 Github 주소 표기, 제작에 참여한 직무기술서 또는 포트폴리오 제출 

근무조건
ㆍ 근무형태 : 정규직(수습기간)-3개월
ㆍ 근무일시 : 주 5일(월~금) 10:00~19:00
ㆍ 근무지역 : 서울시 강남구 테헤란로 504, 해성빌딩 6층
복리후생
 
전형절차

  접수기간 및 방법
ㆍ 접수기간 : 조기 채용 시 마감
ㆍ 접수방법 : 사람인 입사지원
ㆍ 이력서양식 : 사람인 온라인 이력서
  유의사항

ㆍ입사지원 서류에 허위사실이 발견될 경우, 채용확정 이후라도 채용이 취소될 수 있습니다. 
ㆍ본 고지는 『채용절차의 공정화에 관한 법률』 제11조 제6항에 따른 것입니다.  
ㆍ당사 채용에 응시한 구직자 중 최종합격이 되지 못한 구직자는 『채용절차의 공정화에 관한 법률』에 따라
ㆍ제출한 채용서류의 반환을 청구할 수 있음을 알려 드립니다. 다만, 홈페이지 또는 전자우편으로 제출된 경우나
ㆍ구직자가 당사의 요구 없이 자발적으로 제출한 경우에는 그러하지 아니하며, 천재지변이나 그 밖에 당사에게
ㆍ책임 없는 사유로 채용서류가 멸실된 경우에는 반환한 것으로 봅니다.
ㆍ위 본문에 따라 채용서류 반환 청구를 하는 구직자는 채용서류 반환청구서[채용절차의 공정화에 관한 법률
ㆍ시행규칙 별지 제3호 서식]를 작성하여 당사에 요청시면, 제출이 확인된 날로부터 14일 이내에 지정한
ㆍ주소지로 등기우편을 통하여 발송해 드립니다. 이 경우 등기우편요금은 수신자 부담으로 하게 되오니
ㆍ유념하시기 바랍니다.
ㆍ 당사는 위 2항 본문에 따른 구직자의 반환 청구에 대비하여 채용 여부가 확정된 날로부터 180일 간 구직자가
ㆍ제출한 채용서류 원본을 보관하게 되며, 그때까지 채용 서류의 반환을 청구하지 아니할 경우에는
ㆍ『개인정보보호법』에 따라 지체 없이 채용서류 일체를 파기할 예정입니다."
게임개발,(주)하이브로,[Java] 서버 개발자 채용,서울 강남구,정규직,경력무관,학력무관,채용시(6일 전 등록),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=45961719,"[달콤소프트] 모바일 게임기획 담당자
회사소개

     SuperStar는 2014년 SuperStar SMTOWN을 시작으로 약 20개의 기획사, 400명 이상의 아티스트와 함께

     성장하여 전세계 약 126개국 이상에서 약 8,000만명 이상의 K-POP 팬덤 사용자를 확보하고 있는

     “New Contenets Gamification Platform”입니다.

     당사는 미국, 일본, 싱가폴에 해외 자회사 설립을 통해 K-POP 뿐만 아니라 글로벌 아티스트로 확대하며,
           글로벌 서비스로 도약하고 있습니다. 

모집부문 및 상세내용


☆ 모바일 게임기획 (경력직)
  유저에게 새로운 즐거움을 줄 수 있는 아이디어를 구상하는 Creator입니다. 또한, 아트팀과 개발팀 등 협업부서와 커뮤니케이션
하며, 신규 프로젝트 콘텐츠 기획 및 기존 프로젝트 BM 모델 개선 업무를 수행합니다.

 [담당업무]
 ㆍ슈퍼스타 시리즈의 콘텐츠 시스템 기획
 ㆍ슈퍼스타 시리즈의 데이터 테이블 제작 및 관리
   
  [자격요건]
 ㆍ5년 이상 콘텐츠 시스템 기획 경험이 있으신 분
 ㆍ자신이 맡은 업무에 대한 책임감이 강하신 분
 ㆍ협업에 능하고, 원활한 커뮤니케이션 능력을 보유하신 분

 [우대사항]
 ㆍSM, JYP, YG 등의 엔터사 팬덤 및 아이돌 문화에 대한 이해도가 높으신 분
 ㆍ기본적인 컴퓨터 프로그래밍 지식이 있으신 분
 ㆍ경제 밸런스 기획 경험 또는 이해가 있으신 분
 ㆍ논리적인 사고 능력이 있으신 분
ㆍIP기반 게임 제작 및 라이브 서비스 경험이 있으신 분

* 입사지원서에 직무기술서 또는 포트폴리오 제출  
근무조건
ㆍ 근무형태 : 정규직(수습기간)-3개월
ㆍ 근무일시 : 주 5일(월~금) 10:00~19:00
ㆍ 근무지역 : 서울시 강남구 테헤란로 504, 해성빌딩 6층
전형절차

  접수기간 및 방법
ㆍ 접수기간 : 조기 채용 시 마감
ㆍ 접수방법 : 사람인 입사지원
ㆍ 이력서양식 : 사람인 온라인 이력서
  유의사항

ㆍ입사지원 서류에 허위사실이 발견될 경우, 채용확정 이후라도 채용이 취소될 수 있습니다. 
ㆍ본 고지는 『채용절차의 공정화에 관한 법률』 제11조 제6항에 따른 것입니다.  
ㆍ당사 채용에 응시한 구직자 중 최종합격이 되지 못한 구직자는 『채용절차의 공정화에 관한 법률』에 따라
ㆍ제출한 채용서류의 반환을 청구할 수 있음을 알려 드립니다. 다만, 홈페이지 또는 전자우편으로 제출된 경우나
ㆍ구직자가 당사의 요구 없이 자발적으로 제출한 경우에는 그러하지 아니하며, 천재지변이나 그 밖에 당사에게
ㆍ책임 없는 사유로 채용서류가 멸실된 경우에는 반환한 것으로 봅니다.
ㆍ위 본문에 따라 채용서류 반환 청구를 하는 구직자는 채용서류 반환청구서[채용절차의 공정화에 관한 법률
ㆍ시행규칙 별지 제3호 서식]를 작성하여 당사에 요청시면, 제출이 확인된 날로부터 14일 이내에 지정한
ㆍ주소지로 등기우편을 통하여 발송해 드립니다. 이 경우 등기우편요금은 수신자 부담으로 하게 되오니
ㆍ유념하시기 바랍니다.
ㆍ 당사는 위 2항 본문에 따른 구직자의 반환 청구에 대비하여 채용 여부가 확정된 날로부터 180일 간 구직자가
ㆍ제출한 채용서류 원본을 보관하게 되며, 그때까지 채용 서류의 반환을 청구하지 아니할 경우에는
ㆍ『개인정보보호법』에 따라 지체 없이 채용서류 일체를 파기할 예정입니다."
게임개발,(주)페이타랩,[패스오더] 급성장중인 스타트업 'QA 엔지니어' 채용,서울 강남구,정규직 · 계약직,3 ~ 10년,학력무관,상시채용(6일 전 등록),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=45961214,"[네오플]
[서울지사][AK] 
게임밸런싱
기획자
모집
모집부문 및 상세내용   
모집부문
상세내용
[AK프로젝트]
게임밸런싱 기획자


[AK 프로젝트 소개]
프로젝트 AK(Arad Chronicle : Kazan)는 액션 명가 네오플에서 개발 중인 콘솔 플랫폼 3D 액션 RPG 게임으로, 
'던전앤파이터'의 세계관을 확장한 '던파 유니버스' 세계관을 기반으로 하여
그동안 '던전앤파이터'가 선사해온 액션과 풍부하고 다채로운 이야기와 함께
차세대 DNF 액션의 완성을 목표로 개발하고 있습니다.
[2022 GSTAR 트레일러: [지스타2022] 던파 유니버스 '프로젝트 AK (Arad Chronicle : Kazan)' 트레일러]
 [주요 업무]
- 전투, 성장, 보상과 관련한 시스템/컨텐츠에 대한 밸런싱

[지원 자격]
- 콘솔 액션 게임을 좋아하는 분  
* 자기 소개서에 플레이 이력과 게임에 대한 견해 작성
- 책임감, 성실함, 꼼꼼함을 갖추신 분
- 목표한 바를 이루기까지 끈기 있게 집중할 수 있는 분
- 다양한 분야의 사람들과 논의, 협업하는데 문제가 없으신 분
- Excel 사용이 가능한 분
- 데이터 테이블에 대한 이해와 활용이 가능한 분 (경력일 경우)
- 기획 의도를 숫자 및 로직으로 반영하고 설명이 가능한 분 (경력일 경우)
- 수치의 변경이 게임 밸런스와 플레이 경험에 어떻게 영향을 줄 것인지 예측할 수 있는 분 (경력일 경우)

[우대 사항]
- 액션 베이스의 캐릭터 빌드 게임을 많이 플레이 해보신 분
  (디아블로3 / 워프레임 / 인왕 / 몬스터 헌터 등)
- 개발 초기부터 런칭까지 전투 기획 / 밸런싱 경험이 있으신 분
- VBA 활용능력이 있으신 분
- RDBMS에 대한 이해와 구조 설계가 가능하신 분
- SQL을 사용할 수 있으신 분
- Python or C#을 이용한 실무 경험이 있으신 분
- 게임 로그 설계, 데이터 분석 및 통계 업무 경력을 보유하신 분

근무조건
ㆍ 근무형태 : 정규직
ㆍ 근무일시 : 주 5일(월~금), 선택적 근로시간제
ㆍ 근무지역 : (06141) 서울 강남구 테헤란로 201 아주빌딩(역삼동) - 서울 2호선 역삼 에서 100m 이내
전형절차
서류전형
1차면접
2/3차면접
최종합격
접수기간 및 방법
- 상세내용 확인 및 입사지원은 네오플 채용홈페이지 https://career.nexon.com/neople 참고해주세요!

- 수시채용으로 진행 됨에 따라 채용 시 조기 마감될 수 있습니다.

- 개별 공고에 자격요건에 부합하다면 중복지원이 가능하며, 지원서는 각 모집 부서에서 개별적으로 검토됩니다.
유의사항
- 입사지원 서류에 허위사실이 발견될 경우, 채용확정 이후라도 채용이 취소될 수 있습니다.
기타사항
※ 본 채용은 네오플 서울지사로 입사를 희망하는 인원으로 한정 됩니다.
- 필요에 따라 직무 역량 평가를 위한 과제를 진행할 수 있습니다.
- 서류 검토 기간은 최대 한달이며, 개별적으로 결과를 알려 드립니다.
- 국가보훈대상자 및 장애인은 관련법규에 의거하여 우대합니다.
- 네오플과 네오플 채용소식에 대한 좀 더 자세한 소식은 네오플로그(https://blog.naver.com/neoplog) 에서 확인 하실 수 있습니다.
- 네오플 채용 공고는 네오플인스타 (https://www.instagram.com/neople_insta/)에 동시 게재되고 있습니다.
  보다 빠른 소식을 원하시는 분은 네오플 인스타를 팔로우 해주세요!"
게임개발,주식회사 엔피니티7,게임 클라이언트(유니티) 경력자 모집,대구 수성구,정규직,경력 2년↑,학력무관,~ 07/19(수)(6일 전 등록),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=45960564,"[판교/유명중견게임사] RPG 게임QA 모집
모집부문 및 상세내용
모집부문 상세내용
판교 유명게임사

게임 QA (모바일/PC)
- 담당 게임 테스트 및 검수
- 타 부서와의 협업/커뮤니케이션
- 버그등록 및 관리 등
자격사항

- 경력무관 (단, 해당게임 및 직무에 대한 이해도 및 흥미 보유자)
- 관련전공자 및 자격증소지자 우대
근무조건
ㆍ 근무형태 : 코리아인 소속 1년 근무예정
ㆍ 근무일시 : 주 5일(월~금) 10:00~19:00 / 급여 : 회사 내규에 따름
ㆍ 근무지역 : 경기 성남시 분당구 판교역인근 본사
/ 복리후생 : 4대보험, 연차 및 연차수당, 하계휴가, 경조사비 및 경조휴가, 건강검진, 복지포인트, 사내식당(중식제공), 카페테리아 등 최대 복지사항
전형절차
서류전형
1차면접
최종합격
접수기간 및 방법
ㆍ 접수기간 : 채용시 마감
ㆍ 접수방법 : 온라인지원, 이메일지원 (koreain5@korea-in.co.kr)
ㆍ 이력서양식 : 사람인 온라인 이력서
유의사항
ㆍ입사지원 서류에 허위사실이 발견될 경우, 채용확정 이후라도 채용이 취소될 수 있습니다.
ㆍ모집분야별로 마감일이 상이할 수 있으니 유의하시길 바랍니다.

*  채용서류 반환 청구 안내
- 대상 : 입사지원자 중 서류반환 희망자
(면접 진행시 원본으로 제출한 입사 관련 서류에 한함.)
- 반환 청구기간 : 합격자 발표 후 3개월 이내
- 청구방법 : 채용서류 반환청구서 다운로드 후 koreain5@korea-in.co.kr 로 발송
- 반환방법 : 본인 확인 후 청구일로부터 14일 이내 등기우편 발송
(※ 전자우편, 홈페이지를 통해 제출된 서류 및 지원자가 자발적으로 제출한 서류는 채용절차의 공정화에 관한 법률 제11조 제1항에 의거 반환의무가 없음을 알려드립니다.)"
게임개발,주식회사 엔피니티7,게임 백엔드/서버 개발자 신입 모집,대구 수성구,정규직 · 계약직,신입 · 경력,학력무관,~ 07/19(수)(6일 전 등록),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=45960550,"오버테이크㈜ 프론트엔드 개발자 모집
회사 소개

ㆍ데이터 분석 기반 광고 플랫폼 !
   - 오버테이크는 ""더 편리한 금융서비스를 더 많은 사람들에게"" 제공하자는 목표로 만들어진 핀테크 기업으로
     PASS 앱 중심으로 매체 운영 대행 사업을 수행하고 있으며, 50여 개 금융회사와 제휴하여 금융상품 광고업무를
     수행하고 있습니다.
   - 우리는 데이터 분석을 통한 광고대행 및 매체 운영, 콘텐츠 제공, 대출비교 서비스를 제공합니다.
   - 제휴사 플랫폼(매체) 내 흩어져 있는 데이터를 모으고, 이를 분석하여 그 가치를 만들어 내고 있습니다. 
   - SKT, KT, LGU+와 제휴하여, 통신 3사의 대표 플랫폼인 PASS 앱의 매체 운영 대행 사업을 수행하고 있습니다.
   - SK플래닛과 제휴하여, SK그룹사 '서비스 고객의 이용형태 데이터'를 활용해 금융상품을 광고하는 새로운 시도를 하고
     있습니다.
   - 현재 우리는 스타트업이지만, 설립 3년차에 순수 자사 매출액 82억 원을 달성하고, ""데이터 분석 기반 광고 금융 
     플랫폼""으로 성장하고 있는 젊은 회사랍니다. 그렇기에 우리는 다양한 업무를 함께 수행하고 함께 성장하며
     체계를 만들 마음이 있는 분과 함께 일하길 희망하고 있습니다. 특히 스타트업 초기 담당자로 참여하여 사업을
     추진해본 경험자를 우대하고 있습니다.

ㆍ우리가 원하고 바라는 인재 !
   - 무엇보다도 일이 삶에 있어 어떤 의미를 가지고 있는지 자신만의 답을 가지고 있는 사람을 기대해요. 우리는
     하루의 1/3을 회사에서 동료들과 함께 보냅니다. 그리고 길게는 30년 이상을 일해야 합니다. 이처럼 우리의 삶의
     가장 큰 부분 중 하나인 일과 일터를 바르게 바라볼 수 있고, 시간의 소중함을 인지할 수 있는 동료를 만나기를
     희망합니다.

ㆍ오버테이크 팀이 추월하는 방식 !
   - 투명한 정보 공유 (#TMI_FYI_대환영 #외부에는_불투명이_상식)
     오버테이크 팀은 투명한 정보 공유를 통해 누구나 동일한 페이지에 있을 수 있습니다. 더 많은 사람들이 같은 곳에
     있을수록 더욱 다양한 관점을 통해 창의적인 아이디어가 도출됩니다.

   - 수평적 커뮤니케이션 (#OT인들아_지혜를_모아줘 #생각은_날카롭게_표현은_부드럽게)
     오버테이크 팀이 지향하는 수평적 커뮤니케이션은 '생각과 생각의 결합이 장려되고, 결합되는 과정에서 생각의
     뾰족함만 최우선 고려될 것'을 의미합니다.

   - 사일로 협업 (#위임_자율_책임_성장 #무엇을_해결하였나요?)
     오버테이크에서의 과제 도출은 누구나 할 수 있고, 누구나 PM이 될 수 있습니다.
     PM 중심 사일로 협업으로 도출된 과제를 빠르고 정확하게 해결합니다.

   - 얼라인먼트와 스프린트 (#니맘내맘 #같은_방향_같은_목표)
     오버테이크 팀의 목표는 높습니다. 높은 목표는 난이도 있는 과제들로 이어지고 전체가 힘을 모아 집중해야 
     해결 가능합니다. '동기화'가 매우 중요하며 이를 위해 얼라인먼트, 스프린트를 정기적으로 진행합니다.

   - 마침표에 박수를 (#실구아일_실행90%_아이디어 10% #마침표를_찍자)
     오버테이크 팀은 집요하게 실행합니다. 그 결과가 성공으로 이어지건 실패로 이어지건 실행 자체를 가치있게
     생각하고 응원합니다.

   - 회고, 회고, 회고 (#실패는_러닝이_없을때_실패 #성장통은 100세까지)
     동기화된 목표에 대한 집요한 실행으로 마침표를 찍은 후 객관적 회고를 진행합니다. 최초 설정한 목표 대비 달성과
     진행 과정에서의 개선점 등을 날카롭지만 따뜻하게 회고합니다.

   - 몰입에 대한 응원 (#몰입하기_좋은_시간에 #최상의_컨디션으로)
     아이데이션을 즐기고 실행을 통한 구체화로 성취감을 느낍니다. 팀의 높은 동기 부여에 대해 오버테이크는 몰입에
     방해되는 요소를 모두 제거함으로써 지원합니다.

   - 휴식에 대한 응원 (#쉴때도_최선을_다해 #최고의_휴식처는_가족)
     오버테이크 팀은 같이 멀리 가고자 합니다. 전문 건강검진은 물론 근속년수별 리프레쉬 휴가와 휴가비용을 지원하여
     재충전을 적극 지원합니다.

모집부문 및 상세내용
Front-End 기술개발실 1명
담당업무
ㆍ디자인 시스템 개발 운영
ㆍ대출비교 서비스 프론트 운영

자격요건
ㆍ경력 : 경력 3년(4년차) 이상
ㆍReactJS 경험 3년 이상
ㆍUI/UX 개발 경험(html, css, scss, styled-component)

우대사항
ㆍbtc 서비스 개발 경험
ㆍNextJS 경험
ㆍstorybook 및 UI Component library 개발 경험
ㆍApp내 WebView(하이브리드앱) 개발 경험
ㆍ프론트 리딩 경험
ㆍSlack, Jira, Confluence 협업 Tool 경험
근무조건
ㆍ 근무형태 : 정규직(수습기간)-3개월
ㆍ 근무일시 : 주 5일(월~금)
ㆍ 근무지역 : (03992) 서울 마포구 동교로23길 7 - 서울 2호선 홍대입구 에서 300m 이내
전형절차
서류전형
1차 : 실무 면접
2차 : 컬처핏 면접
최종합격
접수기간 및 방법
ㆍ 접수기간 : 2023년 6월 19일 (월) ~ 채용시
ㆍ 접수방법 : 사람인 입사지원
ㆍ 이력서양식 : 자유양식
유의사항
ㆍ입사지원 서류에 허위사실이 발견될 경우, 채용확정 이후라도 채용이 취소될 수 있습니다."
게임개발,주식회사 엔피니티7,"[대구]게임 기획(스토리, 컨텐츠) 신입/경력 모집",대구 수성구,정규직 · 계약직,경력무관,학력무관,~ 07/19(수)(6일 전 등록),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=45960534,"모바일 게임 클라이언트 (Unity3D)
서비스 소개
Z5는 모바일 게임 업계 경력 10년차 파운더들이 창업한 모바일 게임 개발 및 블록체인 서비스 개발 회사입니다.
P2E 게임을 개발 중이며 2022년 상반기 출시를 목표로 개발 중입니다.
Web3 기술이 모두의 삶에 스며드는 그 날이 매우 빠르게 다가오고 있다고 믿으며 그러한 미래를 만들어가고 있습니다.
Z5와 같은 길을 갈 동료들을 찾고 있습니다.
모집부문 / 상세내용
사용 기술
Photon Unity
주요업무
• MoRPG 게임 개발 및 관리
자격요건
• Unity3D 게임 개발 4년 이상 경력
• 엔진에 대한 높은 이해도
• 모바일 게임 최적화에 대한 높은 이해도
• 원활한 커뮤니케이션 능력
우대사항
• Photon 사용 경험
• 라이브 프로젝트 개발 경험
• 영문 자료를 이해 할 정도의 영어 실력
마감일 및 근무지
• 마감일 : 상시
• 근무지
- 06237 서울 강남구 역삼로17길
복지 및 혜택
• 회사 생활 (책임과 자율)
 - 정보의 개방 (회사와 프로젝트 운영에 대한 전반적인 정보 공유)
 - 자율적 연차 사용
 - 하루 전 슬랙에 통보 후 출퇴근 시간 조정 가능
 - 무제한 무급 휴가 사용
• 식음료
 - 점심 식비 10000원
 - 간식 무료 제공
 - 탄산/커피 무료 제공
• 인센티브
 - Web3 프로젝트 런칭 시 토큰 인센티브 제도 도입"
게임개발,(주)엔터웨이파트너스,헤드헌터 / 리서처 - 엔터웨이파트너스 (국내 유명 서치펌),서울 강남구,정규직,경력 1년↑,대학교(4년)↑,~ 07/19(수)(6일 전 등록),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=45960526,
게임개발,(주)티아코리아,[TIA] 게임 클라이언트 정규직 채용,서울 강남구,정규직,경력 3년↑,학력무관,채용시(48일 전 등록),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=45649400,
게임개발,(주)텔로스,[텔로스] 메타기획팀 - 메타버스 게임개발기획자 채용(규모확장),전북 전주시 완산구,정규직 · 계약직,경력무관,학력무관,채용시(20일 전 등록),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=45859398,"  



채용공고

우리와 함께할 전문가를 모집합니다⚡
: [서울지사][AK] 엔진 프로그래머 찾아요 ✨
이런 인재를 원해요✋
: 학력무관, 경력무관
일하는 곳은 여기에요⭐
: 서울 강남구
함께 일할 동료를 찾습니다✅
: 0명
늦지 마세요⌛
: 2023-06-30(금) 23:59까지, 채용시 마감이에요★
※ 상세 모집요강 및 접수방법은 [홈페이지 지원] 참조해 주세요



자소서 항목
전체적인 자기소개 (4000자 이내)
당사 입사지원하신 이유와 함께 지원하신 분야를 희망하는 이유, 그리고 면접관이 꼭 알아주었으면 하는 점을 적어주세요 (4000자 이내)
지원하신 분야에 합격하신 후 어떤 일들에 도전해보고 싶으신가요? 장래 포부와 함께 적어주세요 (4000자 이내)
여러 회사에 동시 합격한 경우, 어떤 조건을 최우선으로 선택하시겠는지, 그 이유를 함께 적어주세요 (1.연봉 및 복리후생 / 2.기업의 성장 가능성 / 3.안정성 / 4.인지도 및 평판 / 5.희망업무 부합도 / 6.인간관계 / 7.기타 (4000자 이내)
네오플의 인재상은 팀웍, 똑똑함, 열정 입니다. 인재상과 관련된 일화가 있으면 말씀해주세요 (4000자 이내)
경력자에 한하여, 이직 회사별로 전 직장 퇴사사유를 보기 중 선택하고 부연설명 해주세요. (1.회사의 불투명한 미래 / 2.연봉조건 / 3. 경영불만 / 4.동료 및 상사와의 불화 / 5.기타 / 6.신입(해당없음)) (4000자 이내)"
