분류,강의명,난이도,가격(현재가격),가격(원래가격),총소요시간,강의소개,출처
Laravel,Laravel 9 - Building a Complete Job Portal Application,모든 수준,"₩17,000","₩23,000",54 hours on-demand video,"What you'll learn
Laravel 8 or Laravel 9 from scratch
Laravel Fundamentals (A to Z)
Laravel Single and Multi Auth (with Guard) System
Visual Studio Code Editor and Important Plugins
Laravel CRUD option
Laravel Login System
Forget Password and Reset Password System
Email Verification System Logic and Implementation
Contact form email sending
Website logo, favicon and other items setup
Admin profile management
Photo uploading system
Toastr message notification system
Company Profile Management
Show more",https://www.udemy.com/course/laravel-building-complete-job-portal-application/
Odoo,Odoo Direct Dot-matrix Printing,전문가,"₩17,000","₩49,000",3.5 hours on-demand video,"What you'll learn
Create an add on from scratch that communicates directly to dot matrix printers to print Invoices
and then Purchase Order
then Sale Order
then Picking
and able to apply for other modules",https://www.udemy.com/course/odoo-direct-dot-matrix-printing/
JavaScript,Modern JavaScript Bootcamp - Beginner To Advanced,모든 수준,"₩17,000","₩69,000",19 hours on-demand video,"What you'll learn
Learn the fundamentals of Modern JavaScript from the very beginning.
Build amazing real world projects using the concepts you learn.
Master DOM manipulation in JavaScript.
Learn Asynchronous JavaScript, how API works and how to fetch data into your application.
Learn the concepts of Object Oriented Programming (OOP).
Gain confidence by learning how to debug you code and handle errors.",https://www.udemy.com/course/modern-javascript-bootcamp-beginner-to-advanced/
React JS,React Responsive Portfolio Website - Complete React Project,모든 수준,"₩17,000","₩23,000",10 hours on-demand video,"What you'll learn
You will build a complete responsive portfolio website
You will learn how to send email from react js app using node js, express js , nodemailer and sendgrid
You will learn different kinds of react js hooks
You will learn how to add dark and light theme
React js Context API
How to build responsive website using bootstrap
How to deploy react js project to netlify
How to download cv from your portfolio website",https://www.udemy.com/course/react-responsive-portfolio-website-complete-react-project/
WordPress,Complete Wordpress course for beginners in 2022,모든 수준,"₩17,000","₩23,000",7.5 hours on-demand video,"What you'll learn
Wordpress basic A2Z | Everything i show in this course
About Elementor Free and Elementor Pro A2Z
How to install Themes and Plugins
How to design Proparly
How to get free domain and Hosting
Many More",https://www.udemy.com/course/complete-wordpress-course-for-beginners-by-expert-azi/
AngularJS,AngularJs with Bootstrap in Action,모든 수준,"₩19,000","₩25,000",15.5 hours on-demand video,"What you'll learn
Build websites from scratch using AngularJs
Use Browserify and import a single js into index html
Create Server using NodeJS
Applying Bootstrap styles into AngularJS applications
Develop complex applications from scratch using AngularJs
Learn the perks of AngularJS
Write a Blog from scratch using AngularJS, Bootstrap, Browserify, Toastr and NodeJS",https://www.udemy.com/course/angularjs-in-action/
MERN Stack,"Full Mern Stack Project with MongoDB, Express, React, NodeJS",모든 수준,"₩17,000","₩23,000",3 hours on-demand video,"What you'll learn
Full Stack Web Development using MERN
Learn how to build backend API using node and express
Learn how to build powerful and fully functional social media website using MERN
Web development is a broad description of the tasks and technologies that go into creating a website.
Full stack mern stack mern projects with react js, nodejs, express js, mongodb
The good news is that web development generally uses light-weight code that is easier to learn than many other languages.
Some web developers will obtain a degree or certification in the field. However, most jobs don't require a specific degree or level of education, just demonstra
React is an essential Javascript framework for web development. It is the most popular framework for developing web, mobile, and desktop app user interfaces.
Show more",https://www.udemy.com/course/full-mern-stack-project-with-mongodb-express-react-nodejs/
Django,"Vue 3, Nuxt.js and Django: A Rapid Guide - Advanced",중급자,"₩19,000","₩59,000",8 hours on-demand video,"What you'll learn
Use Docker
Login with HttpOnly Cookies and Multiple user Scopes
Caching with Redis
Paying with Stripe
Different types of Users
VueJS with Typescript
NuxtJS with Typescript
Use Vuetify
Use Composition API and Options API",https://www.udemy.com/course/vue-django-advanced/
Web Development,Chat Application In PHP With MySQL And JavaScrip ( Laravel ),중급자,"₩19,000","₩25,000",6 hours on-demand video,"What you'll learn
Learn how to create Advanced Chat systems
how to perform and manage Ajax request using JS and Jquery Both
How to work with PHP Laravel
Learn Advanced DOM Interactions
Learn how to use Modern PHP5 and PHP7 Functions
You'll be able to learn Bootstrap features
You will learn how to build project using OOP
Learn how to create and single and Multi user Chat
How to show which user is typing in real time",https://www.udemy.com/course/advance-chat-system-using-php/
Bootstrap,Bootstrap 4 From Scratch with HTML CSS and Bootstrap Project,모든 수준,"₩19,000","₩25,000",7.5 hours on-demand video,"What you'll learn
Learn Bootstrap 4 and UIs from scratch
Learn to use the latest HTML5 and CSS3 to add unique styling to Bootstrap
Learn and create amazing high quality Bootstrap 4 themes and UIs from scratch
Master every single Bootstrap component
Learn to compile Sass in the easiest way possible using a GUI
Get a crash course of the Bootstrap Grid System with the theme layout
Learn how to add Website Scrolling Animation to any Bootstrap Component or HTML Element
HTML & CSS
Learn to create static HTML sites
We will improve our knowledge step by step by learning the basics of CSS
Show more",https://www.udemy.com/course/the-bootstrap-4-from-scratch-with-real-projects/
WordPress,WordPress Forms Development: Formidable Forms Masterclass,모든 수준,"₩19,000","₩25,000",7 hours on-demand video,"What you'll learn
How to use Formidable Forms Pro in WordPress
How to build web forms in WordPress
How to Create Views in WordPress
How to integrate with third party systems using Formidable Pro
How to create snippets and integrate them with Formidable Forms Pro
How to create and call API's",https://www.udemy.com/course/wordpress-forms-development-formidable-forms-masterclass/
CodeIgniter,CodeIgniter 4 HMVC Beginners To Advance Tutorial,모든 수준,"₩19,000","₩25,000",6.5 hours on-demand video,"What you'll learn
CodeIgniter 4 Advance Modules
Working with Spark Commands in CodeIgniter 4
Complete Guide to Work with HMVC Structure Module
Video by Video Live Coding of CodeIgniter 4 Advance Topics
HMVC RESTFul Web Services Development",https://www.udemy.com/course/codeigniter-4-hmvc-beginners-to-advance-tutorial/
PHP,Learn PHP To Create Basic Student Roll Attendance System,중급자,"₩19,000","₩25,000",3 hours on-demand video,"What you'll learn
Demonstrate understanding of PHP programming
To learn the basics of PHP programming
To learn PHP programming by working on projects
To learn intermediate and advanced PHP programming
MYSQLI database queries
You will learn how to use Databases
How to use forms to submit data to databases
You will learn to use bootstrap by getting experience from the project",https://www.udemy.com/course/create-student-attendance-system-with-php/
PHP,QuickStart! - phpMyAdmin,모든 수준,"₩23,000",,2.5 hours on-demand video,"What you'll learn
Administrate mySQL databases using phpMyAdmin",https://www.udemy.com/course/quickstart-phpmyadmin-vtc/
Ruby on Rails,How To Install Ruby On Rails On Windows,초급자,"₩19,000","₩25,000",1.5 hours on-demand video,"What you'll learn
How to Install Ruby on Rails on a Windows Computer
How to Install Node the right way, and why you need to!
How to Install the really cool Git Bash terminal for Windows
How To Set up Version Control Using Git for Windows
How To Connect and Push Your Code to Github For Safe Keeping
How to Install the Heroku Toolbelt for Windows for Web Hosting
How to Push Your App to Heroku Hosting Using Their Free Tier
How To Create basic Rails Apps on a Windows Computer",https://www.udemy.com/course/how-to-install-ruby-on-rails-on-windows/
Web Development,Build an 8-bit website using Bootstrap and Javascript.,초급자,"₩19,000","₩25,000",2 hours on-demand video,"What you'll learn
Learn how to build a website with bootstrap and javascript.",https://www.udemy.com/course/build-an-8-bit-website-using-bootstrap-and-javascript/
Full Stack Web Development,React and Serverless - Fullstack Web Development,초급자,"₩19,000","₩25,000",6.5 hours on-demand video,"What you'll learn
Modern React including Hooks and the Context API
CSS in JSS using Styled Components
Storing data using the Airtable API
Securing applications with JSON Web Tokens
Building and deploying Serverless Functions with Netlify
Creating a Light/Dark mode with CSS Variables and React Context
Deploying to Netlify using Continuous Integration",https://www.udemy.com/course/react-and-serverless/
HTML,Learn to Build HTML Responsive Real-world Modern Websites,모든 수준,"₩17,000","₩23,000",5.5 hours on-demand video,"What you'll learn
Become a modern and confident HTML developer, no prior knowledge needed!
Modern, semantic and accessible HTML5 tags
Design and build a stunning real-world project for your portfolio from scratch
A web design framework with easy-to-use rules and guidelines to design eye-catching websites
How to make websites work on every possible mobile device (responsive design)
How to use common components and layout patterns for professional website design and development
Learn to Publish your website on production servers using FTP app",https://www.udemy.com/course/learn-to-build-html-responsive-real-world-modern-websites/
Full Stack Web Development,Full Stack Development: React (React Hooks) and Spring Boot,중급자,"₩19,000","₩25,000",5 hours on-demand video,"What you'll learn
You will learn developing full stack application with React and Spring boot
You will learn developing the RESTful API with Spring boot
You will learn integrating the React and Spring boot with RESTful web services
You will learn connecting spring boot application to MySQL database
You will learn Java Persistence API with Hibernate
You will learn styling the React applications with Bootstrap 4
You will learn deploying React application to live web server
You will learn deploying Spring boot application to live web server",https://www.udemy.com/course/full-stack-development-react-hooks-and-spring-boot/
CreateJS,Add HTML5 Animation to Your Web Pages Using CreateJS,초급자,"₩19,000","₩25,000",3.5 hours on-demand video,"What you'll learn
Know How to Install, Bootstrap and Test the CreateJS CDN
Learn How To Assess Animation Performance Issues
Understand the Capabilities in the Suite of CreateJS Libraries
Learn to EaselJS Library to Draw on the HTML5 Canvas
Learn to TweenJS Library to Animate on the HTML5 Canvas
Understand Animation Easing Formulas
Know How to Draw and Animate EaselJS Text
Learn How User Mouse Interactions Work",https://www.udemy.com/course/learn-basic-html-animation-using-createjs/
Laravel,Create a document search system in Laravel,중급자,"₩19,000","₩25,000",2 hours on-demand video,"What you'll learn
How to create a document search engine in Laravel
Laravel Scout
Meilisearch
Refactoring code to Actions
The Design Strategy Pattern
Laravel Livewire",https://www.udemy.com/course/laravel-document-search/
Web Development,Webpack 4 - First Steps,초급자,"₩19,000","₩25,000",2 hours on-demand video,"What you'll learn
Introduction to Webpack
Various webpack options provided
Creating production ready apps with webpack
Configuring webpack from scratch
Adding custom loaders and plugins",https://www.udemy.com/course/webpack-4-first-steps/
Bootstrap,Bootstrap 4 Crash Course: Introduction to Building Websites,모든 수준,"₩19,000","₩25,000",3 hours on-demand video,"What you'll learn
Build responsive websites from scratch using the Bootstrap 4 framework for rapid web development
Code and develop responsive landing pages for any type of product
Feel comfortable using Bootstrap 4 for developing websites and various web components
Edit and customize Bootstrap 4 themes to meet any clients' needs
Adaptive and available instructor to answer your questions 24/7
You Get My E-Book ""75+ Must Use Resources for Web Designers & Developers"" for FREE!",https://www.udemy.com/course/bootstrap-4-crash-course-introduction-to-building-websites/
HTML5,The Definitive Guide to HTML Web Development.,모든 수준,"₩17,000","₩23,000",4 hours on-demand video,"What you'll learn
The History of HTML
Build any HTML Webpage from scratch.
Start a Profession as a Web-Developer.
Become an expert in every use of HTML (Tags, Attributes...)
Creating Forms
Building Tables
Inserting Images/Videos
Adding Links
Adding Lists
The Basics of CSS & JS",https://www.udemy.com/course/the-definitive-guide-to-html-web-development/
WordPress Plugins,Wordpress Plugin Development with JQuery (2021),초급자,"₩19,000","₩25,000",1 hour on-demand video,"What you'll learn
WordPress Plugin Development",https://www.udemy.com/course/wordpress-plugin-development-jquery/
Next.js,Next JS with React - Build Personal App (Blogs & Portfolios),모든 수준,"₩17,000","₩59,000",6 hours on-demand video,"What you'll learn
Get an understanding of how to create personal app in practical way
Create a complete portfolio/blog app
Present yourself with your content platform
Establish yourself in the field of the exciting Next and React web development environment",https://www.udemy.com/course/next-js-with-react-build-personal-app-blogs-portfolios/
CSS Animations,CSS Infinity - Creative CSS Animation Course,중급자,"₩17,000","₩23,000",40 mins on-demand video,"What you'll learn
Html5 and CSS3 Creative Hover Effects and Animation For Web Design
master css animations, transitions and transforms
be able to create any creative css animation
CSS Animation Effects Tutorial
CSS Animations: Create Amazing Effects on Your Website",https://www.udemy.com/course/infinity-creative-css-animation-course/
WordPress,"Complete Wordpress Course, Learn Wordpress & Build Website",초급자,"₩19,000","₩25,000",4.5 hours on-demand video,"What you'll learn
Build a professional and modern looking WordPress website
Build a mobile responsive website with WordPress
Build a fast and secure WordPress website
Know how to best set up a Wordpress website
Know the must have webpages for any website
Know how to add content, pictures and videos to your Wordpress website
Obtain a FREE domain name
Build websites on a budget everytime",https://www.udemy.com/course/build-professional-business-personal-website-wordpress-create/
Laravel,Laravel 10 - Build Complete Portfolio Website (2023),모든 수준,"₩17,000","₩23,000",46 hours on-demand video,"What you'll learn
Building Complete Portfolio Website
Project Deployment to Live Server
Composer installation and usage
Laravel File and Folder Structure
About the .env file
Basic Laravel Routing
Route Parameters, middleware, prefix, named route
Registering And Using Middleware
Basic CRUD (Create, Read, Update, Delete) System from Scratch
Image Intervention System
Laravel Basic Authentication using Laravel Breeze - Registration, Email Verification, Forget and Reset Password
User Authorization
Show more",https://www.udemy.com/course/laravel-portfolio-building-course/
REST API,Build ChatGPT App in Flutter using OpenAI API,중급자,"₩17,000","₩59,000",3 hours on-demand video,"What you'll learn
This Flutter course is a complete guide that helps learn and build a fully functioning Flutter application with Rest Api.
Rest API integration
CRUD operations
Teaching how to write Clean-code and avoid Boilerplate code
Provider state management",https://www.udemy.com/course/build-chatgpt-app-in-flutter-using-openai-api/
React JS,FULL Authentication WITH REACT JS NEXT JS TYPESCRIPT 2023,모든 수준,"₩17,000","₩48,000",7 hours on-demand video,"What you'll learn
Create the perfect authentication system 2023
Learn React js next js best practices.
Learn next auth and it's advanced methods.
Manage login, register, forgot and reset password, sending emails,form validation, protected routes
Learn how to send emails using smtp services and nodemailer
Create modern email templates
Validating forms using react hook form and zod
Learn how to wrote strong typed code using Typescript
Learn how to use next js middleware",https://www.udemy.com/course/full-authentification-with-react-js-next-js-typescript-2023/
Bootstrap,Website from Scratch using Bootstrap 4,초급자,"₩19,000","₩25,000",2 hours on-demand video,"What you'll learn
Create a multiple page website from scratch
Use Bootstrap classes for rapid web development",https://www.udemy.com/course/course-bootstrap-4/
Laravel,Laravel 9 From Beginner To Freelancer,모든 수준,"₩17,000","₩23,000",18 hours on-demand video,"What you'll learn
understand the MVC and Laravel Architecture
develop any system or software project from both backend and frontend.
design and implement relational database system
be able to work as a freelancer full stack developer.
create an API for Mobile Development
create an API to connect backend with Web or Mobile application",https://www.udemy.com/course/laravel-9-from-beginner-to-freelancer/
Vue JS,Vue and Javascript With Real Vue JS and Javascript Projects,모든 수준,"₩17,000","₩23,000",12.5 hours on-demand video,"What you'll learn
How to create Web Application with Vue, Vue JS.
Vue, vue js, vuejs, nuxt, vue .js, vue 3, nuxt js, vuex.
What is Vue JS?
Most important Vuejs topics.
How to create multi-page web app with vue-router in vue js.
How to manage the data of our application with the vuex.
How to easily build the largest and most advanced applications using vue and vuex.
Whether you’re building a full single-page application or merely add interactivity to your existing app, Vue js has a spectrum of tools to help you.
If you’re looking for a JavaScript web framework that isn’t going to drown you in complexity, take a look at Vue js.
Vuejs takes what other frameworks have done before, but does it in a way that’s fresh and easy-to-use
Show more",https://www.udemy.com/course/vue-and-javascript-with-real-vue-js-and-javascript-projects/
Vue JS,Master Laravel With Vue JS,모든 수준,"₩19,000","₩25,000",24.5 hours on-demand video,"What you'll learn
Laravel Version 9
Vue JS Version 3
Laravel Basics
Vue JS Basics
CRUD Operations with Laravel
CRUD Operations with Vue JS
API (REST API)
Vue JS State Management (Vuex)
Vue JS Multi Select Component
Laravel Authentication
API Authentication
Laravel Authorization
API Authorization
Real-Time with Pusher
Real-Time with Laravel WebSockets
Chart JS
Excel & PDF Export
Laravel Notifications
Show more",https://www.udemy.com/course/master-laravel-with-vue/
MERN Stack,MERN Stack Online Quiz Portal Application,초급자,"₩17,000","₩23,000",8 hours on-demand video,"What you'll learn
Building full-stack real world applications from scratch , Working with complex MongoDB, queries, schemas, models
Separate User Interfaces for Users, Admins
JWT Authentication and Password Hashing
Ant Design Library for UI Components,
Admin can add exams with questions , options and answers
Real time updates for all the crud operations in Questions and Exams Module
Timer functionality for Exam Sessions , Live Result Functionality after writting the exams
Storing the results into Mongo DB , Separate Reports / Analatics functionality for both Admin and User
Pushing Code to GitHub , Hosting application in Heroku
24/7 Q/A Support.",https://www.udemy.com/course/mern-stack-online-quiz-portal-application/
Creative Coding (code art),Creative Coding Deep Dive for Beginners,초급자,"₩17,000","₩23,000",3 hours on-demand video,"What you'll learn
Draw with code and create 5 unique animation projects for your creative coding portfolio
Learn how to animate shapes and particle systems
Explore creative coding techniques, from simple to more advanced
Practice JavaScript and front-end web development on fun, memorable & visual projects",https://www.udemy.com/course/creative-coding-deep-dive-for-beginners/
ASP.NET,Mastering ASP.NET 4 Using C# - Part 2,중급자,"₩19,000","₩49,000",10.5 hours on-demand video,"What you'll learn
Learn How to Perform CRUD Operations with DetailsView
Learn How to Perform CRUD Operations with FormView
Learn How to Perform CRUD Operations with DataList
Learn How to Perform CRUD Operations with ListView
Learn How to Perform CRUD Operations with Repeater
Learn How to Implement Custom Paging for various Data Web Controls
Learn How to Perform CRUD Operations with GridView
Learn How to Perform Bulk Insert and Bulk Update
Learn How to load Images stored in SQL Server DB Into GridView
Learn How to Bind DropDownList,CheckBox,RadioButton inside GridView
Show more",https://www.udemy.com/course/masteringaspnetpart2/
Apache Kafka,Kafka Streams API For Developers using Java/SpringBoot 3.X,모든 수준,"₩17,000","₩23,000",13 hours on-demand video,"What you'll learn
Build Advanced Kafka Streams Applications using Streams API
Build Kafka Streams Application using HighLevel DSL
Exactly Once Processing- Transactions and Idempotent Producer
Build a Realtime Retail Streaming application using Streams API
Aggregate Multiple events in to aggregated events
Join Multiple Streams into one Joined Stream
Aggregate Streams into Windowed Group of Events
Build Enterprise Standard Kafka Streams Application using SpringBoot
Testing Kafka Streams using TopologyTestDriver using JUnit5
Testing Spring Kafka Streams using EmbeddedKafka and JUnit5
Show more",https://www.udemy.com/course/kafka-streams-api-for-developers-using-java-springboot/
ASP.NET Core,Angular ASP.NET Core Bootcamp,모든 수준,"₩20,000","₩25,000",4.5 hours on-demand video,"What you'll learn
ASP[dot]NET Core
Angular
EF Core",https://www.udemy.com/course/angular-asp-net-core/
NestJS,The Ultimate Authentication Course with NestJS and React,모든 수준,"₩17,000","₩37,000",3.5 hours on-demand video,"What you'll learn
Use NestJS with Typescript
Use TypeORM with MySQL
Use Access & Refresh Tokens
Send Emails
Login using 2 Factor Authentication (2FA) with Google Authenticator
Social Authentication using your Google Account
Use React Hooks
Use Redux Toolkit
Create QR Codes",https://www.udemy.com/course/react-nest-authentication/
JavaScript,Javascript from Basic to Advanced,초급자,"₩20,000","₩25,000",6 hours on-demand video,"What you'll learn
Understand the source code of popular Javascript frameworks
Build your own Javascript framework or library
Avoid common pitfalls and mistakes other Javascript coders make",https://www.udemy.com/course/javascript-from-basic-to-advanced/
WordPress,Create Music Website for Music Artists & Bands in WordPress,모든 수준,"₩20,000","₩25,000",2.5 hours on-demand video,"What you'll learn
Design a professional music streaming website with free professional theme from me ( 60$ )
By the end of this course, you will have a working, gorgeous website to show off your material
In this course you will learn how to create stunning websites without learning any code.
Students will learn how to setup a hosting account, domain name, and Wordpress website.
Create Pages like Release, Events and multiple artists showcasing
create article pages with bio, social media, their music and events
create music streaming website with best theme for wordpress
sell your merchandise or music in the website",https://www.udemy.com/course/professional-music-website-creation-for-artists-bands-in-wp/
React JS,Complete React and Redux Bootcamp Build 10 Hands-On-Projects,초급자,"₩20,000","₩25,000",17.5 hours on-demand video,"What you'll learn
React JS
Redux
React Hooks
HTTP Methods",https://www.udemy.com/course/react-bootcamp-with-hooks-context-redux-with-10-projects/
Vue JS,Vue JS 3 & Firebase - Full Guide [2022],모든 수준,"₩17,000","₩69,000",19.5 hours on-demand video,"What you'll learn
Develop real-world web application with Vue JS 3 and Firebase
Understand Vue JS in practical and fun way
Use gained knowledge to create your own applications
Establish yourself in the field of the exciting mobile app development environment",https://www.udemy.com/course/vue-js-3-firebase-full-guide-2022/
HTML,"Web Development Foundation: Learn HTML5, CSS3 & Bootstrap",모든 수준,"₩17,000","₩23,000",23.5 hours on-demand video,"What you'll learn
Build 6 stunning real-world projects for your portfolio, learn from basics with no previous knowledge!
Learn website structuring with semantic and accessible HTML5
Strong foundation to CSS fundamental concepts with implementations (Selectors, Specificity, Box Model, Display, Position, Units)
Support any device size with Responsive Design (Mobile, Tablets & Desktop)
Play games to practice important CSS concepts (Selectors, Flexbox, CSS Grid)
Use common components, utilities and layout patterns for professional website development
Learn to find free design assets such as images, fonts, and icons
Learn how to use each skill in the real world with project implementations
Show more",https://www.udemy.com/course/web-development-foundation/
Django,Python Django: Ultimate Web Security Checklist - 2023,중급자,"₩17,000","₩69,000",5.5 hours on-demand video,"What you'll learn
How to ensure that your website is secure and ready for deployment
Implement a reCAPTCHA
How to implement two factor authentication (2FA)
Manage failed login attempts
How to add a session timeout
Configure and set various security settings
How to manage users passwords
Theoretical tips on File handling",https://www.udemy.com/course/python-django-ultimate-web-security-checklist-2022/
CSS,JavaScript Shopping Cart Tutorial,중급자,"₩20,000","₩25,000",2.5 hours on-demand video,"What you'll learn
Building a Shopping Cart
Build a Frontend Project
Using the Browser Local Storage
Using Modular Functions",https://www.udemy.com/course/javascript-shopping-cart-tutorial/
JavaScript,React Training Course,초급자,"₩39,000","₩49,000",22 hours on-demand video,"What you'll learn
Web Development in React",https://www.udemy.com/course/react-training-course/
CSS,Learn To Create Pure CSS3 Drop-Down Menus The Easy Way,모든 수준,"₩20,000","₩25,000",1.5 hours on-demand video,"What you'll learn
Learn how to create pure CSS drop-down menus that require no JavaScript",https://www.udemy.com/course/learn-to-create-pure-css3-drop-down-menus/
PHP,PHP Specialist (2017 Edition),초급자,"₩19,000","₩25,000",3.5 hours on-demand video,"What you'll learn
Set up a PHP Web Server
Integrate PHP with HTML code
Call PHP Pages from HTML
Use the echo() and print() functions
Integrate HTML with echo() and print() functions
Declare and use constants
Declare and initialize PHP variables
Understand the type of values held in PHP variables
Use arithmetic operators to perform math functions
Use comparison operators to make logical comparisons
Understand basic if statments
Create complex if statements which facilitate multiple outcomes
Show more",https://www.udemy.com/course/php-specialist-2017/
JavaScript,JavaScript with Real World App Javascript Projects,모든 수준,"₩19,000","₩25,000",8.5 hours on-demand video,"What you'll learn
What are Javascript variables, why are they used
What is Javascript Boolean Logic
How to include JS File in HTML CSS Javascript
What is conditional statements (if else, switch case, ternary operator), how to use in Javascript
How to write Javascript Functions, what are the differences between Function Decleration and Function Expression
What is Javascript loops (for loops, while loops, continue and break statements), how to use them
How to create Javascript Arrays, Array methods (push, pop, shift, unshift ...), Array iteration
How to create Javascript objects, how to update them, object methods
Show more",https://www.udemy.com/course/javascript-with-real-world-app-project/
PHP,The Ultimate Guide To Add Social Media Login to PHP Web Apps,모든 수준,"₩19,000","₩25,000",2 hours on-demand video,"What you'll learn
How to Add Facebook Login to any PHP Website
How to Add Google Login to any PHP Website
How to Add GitHub Login to any PHP Website
Working wth Third Party Libries and API's",https://www.udemy.com/course/how-to-add-social-media-login-to-php-web-apps/
Gatsby.js,Gatsby JS Developer's Guide - Important Parts & Blog App,모든 수준,"₩20,000","₩49,000",12 hours on-demand video,"What you'll learn
Build Gatsby JS apps on your own
Build static page apps with modern technologies
Understand meaning and benefits of JAMStack
Use GraphQL to your advantage",https://www.udemy.com/course/gatsby-js-developers-guide-important-parts-blog-app/
Full Stack Web Development,Full Stack CRUD application with Spring Boot and React Hooks,초급자,"₩17,000","₩23,000",1.5 hours on-demand video,"What you'll learn
You will create your first Full Stack application using Spring Boot and React
You will build RESTful APIs with Spring Boot and MySQL
You will Learn about Functional Component in React
You will Learn how to use React Hooks and Axios to Consume API
You will learn to Solve the Challenges of Connecting a React Frontend to a RESTful API
You will learn to connect REST API to JPA/Hibernate with Spring Boot
You will learn the Basics of building Frontend Applications with React and Bootstrap
You will develop and Basic CRUD application with all Create, Read, Update and Delete Functionality
Latest Edition of Coding Exercise",https://www.udemy.com/course/full-stack-crud-application-with-spring-boot-and-react-hooks/
Full Stack Web Development,PHP Hospital System Using CodeIgniter Framework(2022) Part 2,모든 수준,"₩19,000","₩25,000",19 hours on-demand video,"What you'll learn
Be able to build any web app you want using codeigniter
Build fully-fledged web apps for your startup or business
Build complete hospital management in codeigniter
Work as a freelance codeigniter developer
Craft a portfolio of web apps to apply for seniour developer jobs
Learn to use CodeIgniter
Have a new PHP Skill that would increase income",https://www.udemy.com/course/php-hospital-system-using-codeigniter-framework2020-part-2/
Chrome Developer Tools,Learn how to use chrome developer tools,초급자,"₩19,000","₩25,000",2 hours on-demand video,"What you'll learn
Access the chrome devtools
Use the Element Panel
Manipulate DOM elements on the fly
Use the Sources Panel
Setup Persistence
Debug Javascript code
Setup basic debugging workflow
Explore HTTP request headers
Check resource load times
Simulate mobile devices",https://www.udemy.com/course/learn-how-to-use-chrome-developer-tools/
Web App Development,Solid JS & Firebase - The Complete Guide (Twitter Clone App),모든 수준,"₩17,000","₩69,000",24 hours on-demand video,"What you'll learn
Learn to program with Solid JS and create amazing Web Apps
Get an understanding of how to create a Twitter clone app explained practically
Write type-safe code with Typescript
Use Firebase services - Firestore storage, Authentication
Establish yourself in the field of the Web Development",https://www.udemy.com/course/solid-js-firebase-the-complete-guide-twitter-clone-app/
Web Development,Making Band Websites: Promoting and Selling Your Music,모든 수준,"₩19,000","₩25,000",6.5 hours on-demand video,"What you'll learn
By the end of this course, you will have a working, gorgeous website to show off your material.
In this course you will learn how to create stunning websites without learning any tedious code.
Students will learn how to setup a hosting account, domain name, and Wordpress website.",https://www.udemy.com/course/making-band-websites-promoting-and-selling-your-music/
Django,Django Project: djBlogger,초급자,"₩17,000","₩79,000",14.5 hours on-demand video,"What you'll learn
@ Phase 1 - Setup and initiate new Django applications
@ Phase 1 - Create dynamic webpages to include HTML, CSS and HTMX interactions
@ Phase 1 - Implement a testing environment within a Django project
@ Phase 1 - Create unit tests to test vital features of a Django application",https://www.udemy.com/course/django-project-djblogger/
Laravel,Build a Task Scheduler Admin Panel with Laravel,중급자,"₩19,000","₩25,000",2.5 hours on-demand video,"What you'll learn
Make use of Laravel Command Scheduler in order to schedule tasks from a database
Create model observers and Notification Events
Use Query Caching to improve performance",https://www.udemy.com/course/laravel-task-scheduler/
Bootstrap,Bootstrap 5 - The Complete Guide,초급자,"₩17,000","₩59,000",10.5 hours on-demand video,"What you'll learn
Learn Every Feature that Bootstrap 5 has to Offer
Learn Bootstrap 5 Components, Grid System, Utilities, Classes, Widgets, and Much Much More
Learn to Create Fully Responsive Websites, Admin Panels, Galleries
Learn to Create High-Quality Real Life Website using HTML5, CSS3, and Bootstrap 5
Learn how Properly to Use HTML5 and CSS3 using Semantic and Modern Techniques",https://www.udemy.com/course/bootstrap-5-the-complete-guide/
PHP,PHP Mysql Inventory Barcode POS Web App with Dashboard,중급자,"₩17,000","₩23,000",16.5 hours on-demand video,"What you'll learn
Students will learn Basics Concept of PHP programming language With fundamentals of web-Client server architecture from Theory to Practicle
You will learn how to create Real time Web Based Inventory POS BARCODE Project With Admin LTE Dashboard using PHP8 programming language
You will learn procedural php programming in this project and plugins , Tools , Graphs , Printing Bills And lots of things with adminLTE Dashboard
You will learn procedural php programming in this project and plugins , Tools , Graphs , Printing Bills",https://www.udemy.com/course/php-mysql-inventory-barcode-pos-web-app-with-dashboard/
MySQL,"Richard Stibbard's ""Practical MySQL""",모든 수준,"₩19,000","₩25,000",6.5 hours on-demand video,"What you'll learn
Most MySQL queries and built-in functions
MySQL on the command line in Windows
Relational database design - what it is and why we need it
Customisation with user-defined functions and views
Automation with stored procedures and triggers
Connecting to MySQL using PHP/PDO
MySQL queries in PHP with prepared statements and named parameters
Building PHP CRUD (Create-Read-Update-Delete) interfaces to run in the browser",https://www.udemy.com/course/richard-stibbard-practical-mysql/
jQuery,Hands-On jQuery: jQuery Examples,모든 수준,"₩19,000","₩25,000",,"What you'll learn
See jQuery in action
Practice jQuery with unique jQuery examples
Get working examples that can be used in jQuery projects
Understand jQuery in depth
Take your jQuery skills to the next level",https://www.udemy.com/course/hands-on-jquery-jquery-examples/
